03.01.26 20:12:57.496                       Running at http://localhost:8000
03.01.26 20:12:57.496                       Type Ctrl+C to stop
03.01.26 20:22:01.755       dream.log  INFO REQ 76 GET /static/images/player_095259.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.755       dream.log  WARN REQ 75 404 in 85 μs
03.01.26 20:22:01.755       dream.log  WARN REQ 76 404 in 79 μs
03.01.26 20:22:01.755       dream.log  INFO REQ 72 200 in 867 μs
03.01.26 20:22:01.756       dream.log  INFO REQ 77 GET /static/images/player_095636.png ::1:59120 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.756       dream.log  INFO REQ 78 GET /static/images/player_095822.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.756       dream.log  WARN REQ 77 404 in 72 μs
03.01.26 20:22:01.756       dream.log  WARN REQ 78 404 in 70 μs
03.01.26 20:22:01.756       dream.log  INFO REQ 79 GET /static/images/player_095484.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.756       dream.log  WARN REQ 79 404 in 34 μs
03.01.26 20:22:01.756       dream.log  INFO REQ 68 200 in 3724 μs
03.01.26 20:22:03.959       dream.log  INFO REQ 80 GET /player/095916 ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:03.959       dream.log  INFO REQ 80 200 in 518 μs
03.01.26 20:22:03.968       dream.log  INFO REQ 81 GET /static/css/styles.css ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:03.968       dream.log  INFO REQ 82 GET /static/images/player_095916.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:03.968       dream.log  WARN REQ 82 404 in 37 μs
03.01.26 20:22:03.968       dream.log  INFO REQ 81 200 in 233 μs
03.01.26 20:22:05.851       dream.log  INFO REQ 83 GET /boxscores ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:05.852       dream.log  INFO REQ 83 200 in 1202 μs
